Sector,Project_Name,Status,Allocated_Amount_Cr
Other Municipal Operations,General Civic Expenditure,Approved,980.50
Public Transport,B CITY TRANSPORTATION COST,Approved,195.0
Other Municipal Operations,B SPECIAL GOVERNMENT GRANT FOR PURCHASE OF NAGPUR,Approved,180.0
Public Transport,B DEVELOPMENT WORK ON ROADS AND PREMISES UNDER BUS,Approved,38.5
Administration,B DEPOSIT OF INCOME TAX AND NONCAPITAL INCOME TAX,Approved,4.2
Public Transport,B CITY TRANSPORTATION OFFICE SECURITY SYSTEM,Completed,1.0
Public Transport,B PURCHASING OF COMPUTERS FOR THE TRANSPORT,Completed,0.2
Administration,B PUBLICITY AND PUBLICITY EXPENSES,Approved,0.20
Public Safety & Fire,B PURCHASE OF FIRE FIGHTING MATERIAL,Approved,0.08
