Sector,Project_Name,Status,Allocated_Amount_Cr
Other Municipal Operations,General Civic Expenditure,Completed,850.00
Public Transport,B CITY TRANSPORTATION COST,Completed,150.0
Environment,Nag River Clean-up Phase 1,Completed,120.0
Public Transport,B DEVELOPMENT WORK ON ROADS AND PREMISES UNDER BUS,Completed,30.0
Road Infrastructure,Pothole Repair & Resurfacing,Completed,85.0
Administration,B DEPOSIT OF INCOME TAX AND NONCAPITAL INCOME TAX,Completed,3.5
Public Transport,B CITY TRANSPORTATION OFFICE SECURITY SYSTEM,Completed,0.8
Public Safety & Fire,B PURCHASE OF FIRE FIGHTING MATERIAL,Completed,0.05
